Location,Strand,Length,PID,Gene,Synonym,Code,COG,Product
190..255,+,21,16127995,thrL,b0001,-,-
337..2799,+,820,16127996,thrA,b0002,-,COG0527E
2801..3733,+,310,16127997,thrB,b0003,-,COG0083E
3734..5020,+,428,16127998,thrC,b0004,-,COG0498E
5234..5530,+,98,16127999,yaaX,b0005,-,-
5683..6459,-,258,16128000,yaaA,b0006,-,COG3022S
6529..7959,-,476,16128001,yaaJ,b0007,-,COG1115E
8238..9191,+,317,16128002,talB,b0008,-,COG0176G
9306..9893,+,195,16128003,mog,b0009,-,COG0521H
9928..10494,-,188,16128004,yaaH,b0010,-,COG1584S
10643..11356,-,237,16128005,yaaW,b0011,-,COG4735S
11382..11786,-,134,16128007,yaaI,b0013,-,-
12163..14079,+,638,16128008,dnaK,b0014,-,COG0443O
14168..15298,+,376,16128009,dnaJ,b0015,-,COG0484O
15445..16557,+,370,16128010,insL,b0016,-,COG3385L
16751..16960,-,69,16128012,mokC,b0018,-,-
16751..16903,-,50,49175991,hokC,b4412,-,-
17489..18655,+,388,16128013,nhaA,b0019,-,COG3004P
18715..19620,+,301,16128014,nhaR,b0020,-,COG0583K
19811..20314,-,167,16128015,insB,b0021,-,COG1662L
20233..20508,-,91,16128016,insA,b0022,-,COG3677L
20815..21078,-,87,16128017,rpsT,b0023,-,COG0268J
21181..21399,+,72,16128018,yaaY,b0024,-,-
21407..22348,+,313,16128019,ribF,b0025,-,COG0196H
22391..25207,+,938,16128020,ileS,b0026,-,COG0060J
25207..25701,+,164,16128021,lspA,b0027,-,COG0597MU
25826..26275,+,149,16128022,fkpB,b0028,-,COG1047O
26277..27227,+,316,16128023,ispH,b0029,-,COG0761IM
27293..28207,+,304,16128024,rihC,b0030,-,COG1957F
28374..29195,+,273,16128025,dapB,b0031,-,COG0289E
29651..30799,+,382,16128026,carA,b0032,-,COG0505EF
30817..34038,+,1073,16128027,carB,b0033,-,COG0458EF
34300..34695,+,131,90111079,caiF,b0034,-,-
34781..35371,-,196,90111080,caiE,b0035,-,COG0663R
35377..36162,-,261,221800779,caiD,b0036,-,COG1024I
36271..37824,-,517,221800780,caiC,b0037,-,COG0318IQ
37898..39115,-,405,16128032,caiB,b0038,-,COG1804C
39244..40386,-,380,16128033,caiA,b0039,-,COG1960I
