Location,Strand,Length,PID,Gene,Synonym,Code,COG,Product
248..1453,+,401,15789341,-,VNG0001H,-,COG1361M
1450..2115,+,221,15789342,yvrO,VNG0002G,-,COG1136V
2145..3254,+,369,15789343,-,VNG0003C,-,COG4591M
3322..5643,+,773,15789344,-,VNG0005H,-,COG1287R
5646..7451,-,601,15789345,glmS,VNG0006G,-,COG0449M
7454..8641,-,395,15789346,graD5,VNG0008G,-,COG1208MJ
8655..9860,-,401,15789347,graD2,VNG0009G,-,COG1208MJ
9980..11413,+,477,15789348,-,VNG0011C,-,COG2148M
11478..12614,-,378,15789349,-,VNG0013C,-,COG0675L
12978..13187,+,69,15789350,-,VNG0014C,-,COG0065E
13462..13644,-,60,15789351,-,VNG0015H,-,-
13809..14180,-,123,15789352,-,VNG0016H,-,COG2524K
14484..14780,+,98,15789353,-,VNG0017H,-,-
14868..15131,+,87,15789354,-,VNG0018H,-,-
15310..15408,+,32,15789355,-,VNG0019H,-,-
15419..16051,-,210,15789356,-,VNG0020H,-,-
16342..17706,+,454,15789357,-,VNG0021H,-,COG3436L
18357..18902,+,181,15789358,-,VNG0022H,-,-
18895..19530,+,211,15789359,-,VNG0023H,-,-
19703..20023,-,106,15789360,-,VNG0024H,-,-
20219..20482,-,87,15789361,-,VNG0025H,-,-
20533..21456,-,307,15789362,-,VNG0026C,-,COG0675L
22103..22750,-,215,15789363,-,VNG0027H,-,-
23336..23890,+,184,15789364,-,VNG0028C,-,COG3415L
24109..24564,-,151,15789365,-,VNG0029H,-,-
26201..26596,+,131,15789366,-,VNG0030H,-,-
26648..29008,+,786,15789367,-,VNG0031H,-,-
29046..29429,+,127,15789368,-,VNG0032H,-,-
29476..29913,-,145,15789369,-,VNG0033H,-,-
29913..30014,-,33,15789370,-,VNG0034H,-,-
30356..31168,-,270,15789371,-,VNG0035H,-,COG3039L
31838..32086,+,82,15789372,-,VNG0037H,-,COG1598S
32101..32355,+,84,15789373,-,VNG0038H,-,COG1724N
32555..32890,-,111,15789374,-,VNG0039H,-,COG1497K
33182..33628,-,148,15789375,-,VNG0040C,-,COG4190K
33610..33915,-,101,15789376,-,VNG0041C,-,-
34651..35931,-,426,15789377,ntp,VNG0042G,-,COG0675L
36321..36713,+,130,15789378,-,VNG0043H,-,COG1943L
36715..37971,+,418,15789379,-,VNG0044H,-,COG0675L
38017..39432,+,471,15789380,-,VNG0045C,-,COG1474LO
39611..40903,-,430,15789381,ugd,VNG0046G,-,COG1004M
40991..41719,+,242,16554457,graD6,VNG0047Gm,-,COG1209M
41880..42659,+,259,15789383,-,VNG0049H,-,COG3897R
42707..44149,+,480,15789384,-,VNG0050C,-,COG2244R
44245..45456,-,403,15789385,rfbU1,VNG0051G,-,COG0438M
47199..48473,-,424,15789386,-,VNG0052H,-,COG3385L
48767..49222,+,151,15789387,-,VNG0053H,-,-
49352..49972,-,206,15789388,-,VNG0054H,-,-
49985..50251,+,88,15789389,-,VNG0055H,-,-
50564..51970,-,468,15789390,-,VNG0056H,-,COG3436L
53192..54367,+,391,15789391,-,VNG0057H,-,-
54696..55745,-,349,15789392,-,VNG0058H,-,-
56287..57561,+,424,15789393,-,VNG0059H,-,COG3385L
57660..58661,-,333,15789394,lpg,VNG0060G,-,COG0438M
58827..60182,+,451,15789395,-,VNG0061C,-,COG3119P
60609..61625,-,338,15789396,lpb,VNG0062G,-,COG0438M
61700..62686,-,328,15789397,galE2,VNG0063G,-,COG0451MG
62927..63643,+,238,15789398,graD3,VNG0064G,-,COG1209M
63881..64810,+,309,15789399,gmd,VNG0065G,-,COG0451MG
64976..65206,+,76,15789400,-,VNG0066H,-,COG2886S
65203..65472,+,89,15789401,-,VNG0067H,-,COG2405R
65671..65832,+,53,15789402,-,VNG0068H,-,-
66054..66251,+,65,15789403,-,VNG0069H,-,-
66241..66534,+,97,15789404,-,VNG0070H,-,COG2026JD
67057..67491,-,144,15789405,-,VNG0072H,-,COG2402R
67908..68204,+,98,15789406,-,VNG0073C,-,COG0451MG
68290..68514,+,74,15789407,-,VNG0075H,-,COG1349KG
69300..69419,-,39,15789408,-,VNG0076H,-,-
