Location,Strand,Length,PID,start,end
248..1453,+,401,15789341,248,1453
1450..2115,+,221,15789342,1450,2115
2145..3254,+,369,15789343,2145,3254
3322..5643,+,773,15789344,3322,5643
5646..7451,-,601,15789345,5646,7451
7454..8641,-,395,15789346,7454,8641
8655..9860,-,401,15789347,8655,9860
9980..11413,+,477,15789348,9980,11413
11478..12614,-,378,15789349,11478,12614
12978..13187,+,69,15789350,12978,13187
13462..13644,-,60,15789351,13462,13644
13809..14180,-,123,15789352,13809,14180
14484..14780,+,98,15789353,14484,14780
14868..15131,+,87,15789354,14868,15131
15310..15408,+,32,15789355,15310,15408
15419..16051,-,210,15789356,15419,16051
16342..17706,+,454,15789357,16342,17706
18357..18902,+,181,15789358,18357,18902
18895..19530,+,211,15789359,18895,19530
19703..20023,-,106,15789360,19703,20023
20219..20482,-,87,15789361,20219,20482
20533..21456,-,307,15789362,20533,21456
22103..22750,-,215,15789363,22103,22750
23336..23890,+,184,15789364,23336,23890
24109..24564,-,151,15789365,24109,24564
26201..26596,+,131,15789366,26201,26596
26648..29008,+,786,15789367,26648,29008
29046..29429,+,127,15789368,29046,29429
29476..29913,-,145,15789369,29476,29913
29913..30014,-,33,15789370,29913,30014
30356..31168,-,270,15789371,30356,31168
31838..32086,+,82,15789372,31838,32086
32101..32355,+,84,15789373,32101,32355
32555..32890,-,111,15789374,32555,32890
33182..33628,-,148,15789375,33182,33628
33610..33915,-,101,15789376,33610,33915
34651..35931,-,426,15789377,34651,35931
36321..36713,+,130,15789378,36321,36713
36715..37971,+,418,15789379,36715,37971
38017..39432,+,471,15789380,38017,39432
39611..40903,-,430,15789381,39611,40903
40991..41719,+,242,16554457,40991,41719
41880..42659,+,259,15789383,41880,42659
42707..44149,+,480,15789384,42707,44149
44245..45456,-,403,15789385,44245,45456
47199..48473,-,424,15789386,47199,48473
48767..49222,+,151,15789387,48767,49222
49352..49972,-,206,15789388,49352,49972
49985..50251,+,88,15789389,49985,50251
50564..51970,-,468,15789390,50564,51970
53192..54367,+,391,15789391,53192,54367
54696..55745,-,349,15789392,54696,55745
56287..57561,+,424,15789393,56287,57561
57660..58661,-,333,15789394,57660,58661
58827..60182,+,451,15789395,58827,60182
60609..61625,-,338,15789396,60609,61625
61700..62686,-,328,15789397,61700,62686
62927..63643,+,238,15789398,62927,63643
63881..64810,+,309,15789399,63881,64810
64976..65206,+,76,15789400,64976,65206
65203..65472,+,89,15789401,65203,65472
65671..65832,+,53,15789402,65671,65832
66054..66251,+,65,15789403,66054,66251
66241..66534,+,97,15789404,66241,66534
67057..67491,-,144,15789405,67057,67491
67908..68204,+,98,15789406,67908,68204
68290..68514,+,74,15789407,68290,68514
69300..69419,-,39,15789408,69300,69419
69967..70749,+,260,15789409,69967,70749
71127..71342,-,71,15789410,71127,71342
71317..71748,+,143,15789411,71317,71748
71811..72704,+,297,15789412,71811,72704
72708..73544,-,278,15789413,72708,73544
73639..74742,+,367,15789414,73639,74742
74752..76647,-,631,16554458,74752,76647
76644..77867,-,407,15789416,76644,77867
77923..78660,-,245,15789417,77923,78660
78683..79597,-,304,15789418,78683,79597
79662..80327,-,221,15789419,79662,80327
80387..81328,-,313,15789420,80387,81328
81452..82459,+,335,15789421,81452,82459
82540..82926,+,128,15789422,82540,82926
82932..83789,-,285,15789423,82932,83789
83885..84415,-,176,15789424,83885,84415
84617..84841,-,74,15789425,84617,84841
84927..85583,-,218,15789426,84927,85583
85640..86611,-,323,15789427,85640,86611
86734..87219,-,161,15789428,86734,87219
87668..89167,+,499,15789429,87668,89167
89160..90587,+,475,15789430,89160,90587
90639..93641,+,1000,15789431,90639,93641
93634..94359,+,241,15789432,93634,94359
96010..96543,-,177,15789433,96010,96543
97444..98121,+,225,15789434,97444,98121
98226..99008,+,260,15789435,98226,99008
100891..101715,-,274,15789436,100891,101715
102034..102309,-,91,15789437,102034,102309
102309..102692,-,127,15789438,102309,102692
102863..103021,-,52,15789439,102863,103021
103021..103146,-,41,15789440,103021,103146
103514..104005,+,163,15789441,103514,104005
