Location,Strand,Length,PID,start,end
190..255,+,21,16127995,190,255
337..2799,+,820,16127996,337,2799
2801..3733,+,310,16127997,2801,3733
3734..5020,+,428,16127998,3734,5020
5234..5530,+,98,16127999,5234,5530
5683..6459,-,258,16128000,5683,6459
6529..7959,-,476,16128001,6529,7959
8238..9191,+,317,16128002,8238,9191
9306..9893,+,195,16128003,9306,9893
9928..10494,-,188,16128004,9928,10494
10643..11356,-,237,16128005,10643,11356
11382..11786,-,134,16128007,11382,11786
12163..14079,+,638,16128008,12163,14079
14168..15298,+,376,16128009,14168,15298
15445..16557,+,370,16128010,15445,16557
16751..16960,-,69,16128012,16751,16960
16751..16903,-,50,49175991,16751,16903
17489..18655,+,388,16128013,17489,18655
18715..19620,+,301,16128014,18715,19620
19811..20314,-,167,16128015,19811,20314
20233..20508,-,91,16128016,20233,20508
20815..21078,-,87,16128017,20815,21078
21181..21399,+,72,16128018,21181,21399
21407..22348,+,313,16128019,21407,22348
22391..25207,+,938,16128020,22391,25207
25207..25701,+,164,16128021,25207,25701
25826..26275,+,149,16128022,25826,26275
26277..27227,+,316,16128023,26277,27227
27293..28207,+,304,16128024,27293,28207
28374..29195,+,273,16128025,28374,29195
29651..30799,+,382,16128026,29651,30799
30817..34038,+,1073,16128027,30817,34038
34300..34695,+,131,90111079,34300,34695
34781..35371,-,196,90111080,34781,35371
35377..36162,-,261,221800779,35377,36162
36271..37824,-,517,221800780,36271,37824
37898..39115,-,405,16128032,37898,39115
39244..40386,-,380,16128033,39244,40386
40417..41931,-,504,16128034,40417,41931
42403..43173,+,256,90111081,42403,43173
43188..44129,+,313,16128036,43188,44129
44180..45466,+,428,16128037,44180,45466
45463..45750,+,95,16128038,45463,45750
45807..47138,+,443,16128039,45807,47138
47246..47776,+,176,16128040,47246,47776
47769..49631,+,620,16128041,47769,49631
49823..50302,+,159,16128042,49823,50302
50380..51222,-,280,16128043,50380,51222
51229..51606,-,125,16128044,51229,51606
51609..52430,-,273,16128045,51609,52430
52427..53416,-,329,16128046,52427,53416
53416..54702,-,428,16128047,53416,54702
54755..57109,-,784,16128048,54755,57109
57364..58179,+,271,16128049,57364,58179
59687..60346,-,219,16128052,59687,60346
60358..63264,-,968,16128053,60358,63264
63429..65780,-,783,16128054,63429,65780
