Contig,Start,End,Strand
HCP21_5716,41,313,-
HCP21_5491,232,309,-
HCP21_5089,81,530,+
HCP21_5196,1,312,+
HCP21_6312,89,592,-
HCP21_10684,77,361,+
HCP21_9072,3,320,+
HCP21_3159,58,879,-
HCP21_3188,19,474,+
HCP21_6792,2,718,+
HCP21_267_,253,312,+
HCP21_2940,1,159,-
HCP21_2940,192,371,-
HCP21_3816,12,347,+
HCP21_7879,19,315,-
HCP21_2284,3,320,-
HCP21_873_,3,296,+
HCP21_954_,2,382,-
HCP21_4103,2,454,+
HCP21_2_11864,90,191,+
HCP21_2_42524,1,111,+
HCP21_2_45524,1,126,+
HCP21_2_52024,2,178,+
HCP21_2_54024,2,208,+
HCP21_2_57910,3,100,-
HCP21_2_61910,4,120,+
HCP21_2_66910,3,173,-
HCP21_2_70053,1,102,+
HCP21_2_70553,3,104,-
HCP21_2_73553,3,109,-
HCP21_2_79053,73,171,-
HCP21_2_79553,2,180,-
HCP21_2_88207,6,125,-
HCP21_2_88707,28,132,-
HCP21_2_91707,2,180,-
HCP21_2_93207,7,225,-
HCP21_2_108978,14,99,+
HCP21_2_110478,4,108,+
HCP21_2_125726,2,117,-
HCP21_2_129226,3,154,-
HCP21_2_138405,3,119,-
HCP21_2_145905,13,180,-
HCP21_2_147905,6,176,+
HCP21_2_153758,3,106,-
HCP21_2_160258,4,165,+
HCP21_8563,2,310,+
HCP21_1655,1,312,-
HCP21_635_,2,499,+
HCP21_5227,2,658,+
HCP21_8582,2,361,+
HCP21_8920,3,1085,-
HCP21_187_,3,305,-
HCP21_6522,194,601,-
HCP21_3783,100,309,+
HCP21_8686,2,322,-
HCP21_1062,2,283,+
HCP21_7322,2,769,+
HCP21_7322,762,1133,-
HCP21_7385,21,1010,+
HCP21_543_,2,61,-
HCP21_3072,36,362,-
HCP21_118_,42,788,+
HCP21_118_,793,2529,+
HCP21_118_,2540,3247,+
HCP21_6212,83,418,-
HCP21_5734,3,605,-
HCP21_3793,3,335,-
HCP21_8613,90,461,+
HCP21_3460,1,420,+
HCP21_8213,1,345,+
HCP21_1_1_newblercontig11656,20,187,-
HCP21_1_1_newblercontig12203,6,182,+
HCP21_1_1_newblercontig13287,3,242,-
HCP21_2_865,20,97,-
HCP21_2_8365,2,124,+
HCP21_2_9865,3,161,-
HCP21_2_17698,14,109,+
HCP21_2_24198,1,165,+
HCP21_2_24698,32,172,-
HCP21_2_32923,4,126,-
HCP21_2_35423,2,153,-
HCP21_2_46525,1,133,+
HCP21_2_48525,2,145,+
HCP21_2_50025,6,158,+
HCP21_2_60911,2,115,+
HCP21_2_61911,3,119,-
HCP21_2_63911,3,134,+
HCP21_2_65411,20,139,+
HCP21_2_67411,3,185,-
HCP21_2_68411,6,215,-
HCP21_2_94880,4,102,+
HCP21_2_101880,11,148,+
HCP21_2_111479,1,125,-
HCP21_2_114479,2,150,-
HCP21_2_114979,11,157,+
HCP21_2_116979,69,185,-
HCP21_2_118979,13,222,+
HCP21_2_126727,3,128,+
HCP21_2_140406,5,124,+
HCP21_2_154259,2,111,-
HCP21_2_155759,4,120,+
HCP21_1387,77,367,-
HCP21_8684,3,359,+
HCP21_192_,3,363,-
HCP21_8515,78,434,-
HCP21_4461,2,64,+
HCP21_4461,290,394,+
HCP21_10828,40,423,+
HCP21_135_,1,1092,-
HCP21_135_,1321,3099,+
HCP21_135_,3223,3894,-
HCP21_5420,2,121,-
HCP21_5420,185,334,-
HCP21_9425,3,497,+
HCP21_6476,269,367,-
HCP21_1801,2,328,+
HCP21_1838,2,400,+
HCP21_2724,2,450,-
HCP21_3719,2,169,+
HCP21_1126,1,276,-
HCP21_2321,190,357,+
HCP21_4172,1,204,+
HCP21_3151,1,108,+
HCP21_3151,448,621,-
HCP21_6018,1,60,+
HCP21_6018,201,350,+
HCP21_6018,366,584,+
HCP21_1_1_newblercontig07137,15,239,-
HCP21_1_1_newblercontig08309,3,227,+
HCP21_1_1_newblercontig11123,3,194,-
HCP21_1_1_newblercontig11666,3,185,-
HCP21_1_1_newblercontig14864,3,140,-
HCP21_2_10374,5,166,-
HCP21_2_19207,2,94,+
HCP21_2_23707,3,157,-
HCP21_2_27432,3,100,-
HCP21_2_35932,1,159,+
HCP21_2_45034,1,124,+
HCP21_2_46534,1,132,+
HCP21_2_58920,2,105,-
HCP21_2_66420,2,165,-
HCP21_2_68420,3,215,-
HCP21_2_74063,2,120,-
HCP21_2_76563,3,139,-
HCP21_2_88217,2,132,-
HCP21_2_98889,1,123,+
HCP21_2_106488,2,103,+
HCP21_2_113988,42,146,-
HCP21_2_118488,2,213,-
HCP21_2_119488,1,234,+
HCP21_2_122736,13,108,+
HCP21_2_126236,5,124,-
HCP21_2_127236,1,132,+
HCP21_2_129236,2,109,+
HCP21_2_131236,44,187,-
HCP21_2_135915,9,104,+
HCP21_2_137415,5,115,-
HCP21_2_141915,2,136,+
HCP21_2_143915,34,159,-
HCP21_2_145415,3,175,+
HCP21_2_153268,5,106,-
HCP21_2_156268,7,123,+
HCP21_2_160268,3,164,+
HCP21_8789,212,925,-
HCP21_4132,1,621,+
HCP21_4132,708,872,+
HCP21_6016,207,344,+
HCP21_9963,3,92,+
HCP21_9963,296,385,+
HCP21_8239,3,353,-
HCP21_2399,3,1073,-
HCP21_2399,1123,1893,-
HCP21_2399,1915,2241,-
HCP21_2399,2293,2394,-
HCP21_6615,1,384,+
HCP21_115_,2,2785,+
HCP21_8479,2,430,+
HCP21_1585,3,353,+
HCP21_2433,3,638,+
HCP21_2433,671,886,-
HCP21_2433,965,1681,+
HCP21_2433,1905,2093,+
HCP21_4743,3,385,-
HCP21_7499,2,259,+
HCP21_7499,277,336,-
HCP21_2957,1,69,+
HCP21_2957,62,496,-
HCP21_2957,477,554,-
HCP21_1079,2,193,+
HCP21_9913,2,493,+
HCP21_911_,2,346,+
HCP21_5936,3,608,-
HCP21_8019,3,287,+
HCP21_8019,303,1220,+
HCP21_5651,3,176,+
HCP21_5651,283,528,-
HCP21_5433,3,398,-
HCP21_4456,1,642,-
HCP21_1872,1,456,+
HCP21_6401,42,419,-
HCP21_8361,207,431,+
HCP21_2102,2,343,+
HCP21_9469,88,1209,+
HCP21_8179,3,461,-
HCP21_1405,1,147,-
HCP21_2374,1,252,-
HCP21_7672,3,614,+
HCP21_4709,3,395,-
HCP21_1477,364,432,-
HCP21_4665,1,276,+
HCP21_4665,425,487,-
