Location,Strand,Length,PID,start,end
410..1750,+,446,16077069,410,1750
1939..3075,+,378,16077070,1939,3075
3206..3421,+,71,16077071,3206,3421
3437..4549,+,370,16077072,3437,4549
4567..4812,+,81,255767014,4567,4812
4867..6783,+,638,16077074,4867,6783
6994..9459,+,821,16077075,6994,9459
14847..15794,-,315,16077076,14847,15794
15915..17381,+,488,16077077,15915,17381
17534..18865,+,443,16077078,17534,18865
19062..19946,+,294,16077079,19062,19946
19968..20558,+,196,16077080,19968,20558
20880..22157,+,425,16077081,20880,22157
22496..23149,-,217,16077082,22496,23149
23146..23769,-,207,16077083,23146,23769
23868..25151,-,427,16077084,23868,25151
25221..25766,-,181,16077085,25221,25766
25852..26337,+,161,16077086,25852,26337
26814..28505,+,563,255767015,26814,28505
28529..28852,+,107,16077088,28529,28852
28867..29463,+,198,16077089,28867,29463
29481..29705,+,74,16077090,29481,29705
29772..30035,+,87,255767016,29772,30035
35531..35725,+,64,16077092,35531,35725
35845..36459,+,204,16077093,35845,36459
36478..37638,+,386,16077094,36478,37638
37720..39162,+,480,16077095,37720,39162
39159..39797,+,212,255767017,39159,39797
39871..40200,+,109,16077097,39871,40200
40213..40653,+,146,16077098,40213,40653
40665..41654,+,329,16077099,40665,41654
41657..42484,+,275,16077100,41657,42484
42499..42858,+,119,16077101,42499,42858
42917..43660,+,247,16077102,42917,43660
43647..43946,+,99,16077103,43647,43946
43921..44799,+,292,16077104,43921,44799
44848..45138,-,96,16077105,44848,45138
45633..47627,+,664,16077106,45633,47627
47706..48473,+,255,16077107,47706,48473
48629..49942,+,437,16077108,48629,49942
50087..50647,+,186,16077109,50087,50647
50640..51518,+,292,16077110,50640,51518
51680..52552,+,290,16077111,51680,52552
52763..53023,+,86,16077112,52763,53023
53183..53368,+,61,16077113,53183,53368
53516..54385,+,289,16077114,53516,54385
54441..55298,+,285,16077115,54441,55298
55295..55672,+,125,16077116,55295,55672
55866..56159,+,97,16077117,55866,56159
56352..57722,+,456,16077118,56352,57722
57745..58698,+,317,16077119,57745,58698
58783..59397,+,204,16077120,58783,59397
59504..60070,+,188,16077121,59504,60070
60130..60360,+,76,16077122,60130,60360
60430..63963,+,1177,16077123,60430,63963
64099..64635,+,178,16077124,64099,64635
64817..66415,+,532,16077125,64817,66415
66405..67874,+,489,16077126,66405,67874
67877..68137,+,86,16077127,67877,68137
68216..68518,+,100,16077128,68216,68518
68515..69150,+,211,16077129,68515,69150
69168..69545,+,125,16077130,69168,69545
69626..70012,+,128,16077131,69626,70012
70538..73021,+,827,16077132,70538,73021
73106..73843,+,245,16077133,73106,73843
73809..74825,+,338,50812174,73809,74825
74929..76347,+,472,16077135,74929,76347
76344..76886,+,180,16077136,76344,76886
76984..78897,+,637,16077137,76984,78897
79092..79868,+,258,255767018,79092,79868
79880..80755,+,291,16077139,79880,80755
80802..81695,+,297,16077140,80802,81695
81771..82697,+,308,16077141,81771,82697
82864..84276,+,470,16077142,82864,84276
84290..84874,+,194,16077143,84290,84874
84874..85755,+,293,16077144,84874,85755
85737..86594,+,285,16077145,85737,86594
86587..86949,+,120,16077146,86587,86949
86946..87449,+,167,16077147,86946,87449
87401..87610,+,69,16077148,87401,87610
87634..88635,+,333,16077149,87634,88635
88727..90226,+,499,16077150,88727,90226
101449..101913,+,154,16077151,101449,101913
101927..102484,+,185,16077152,101927,102484
102484..103575,+,363,16077153,102484,103575
103572..106004,+,810,16077154,103572,106004
106096..107472,+,458,16077155,106096,107472
107476..108558,+,360,16077156,107476,108558
108674..109774,+,366,16077157,108674,109774
109789..110487,+,232,16077158,109789,110487
110480..110956,+,158,16077159,110480,110956
111047..112498,+,483,16077160,111047,112498
112800..113453,+,217,16077161,112800,113453
113450..114850,+,466,16077162,113450,114850
114854..115285,+,143,16077163,114854,115285
115269..116018,+,249,16077164,115269,116018
116025..116537,+,170,16077165,116025,116537
116600..117256,+,218,16077166,116600,117256
117349..117498,+,49,16077167,117349,117498
117532..117711,+,59,16077168,117532,117711
117890..118423,+,177,16077169,117890,118423
118591..119016,+,141,255767019,118591,119016
119111..119809,+,232,255767020,119111,119809
120061..120561,+,166,255767021,120061,120561
120607..120978,+,123,16077173,120607,120978
121068..121673,+,201,16077174,121068,121673
121919..125500,+,1193,255767022,121919,125500
125562..129161,+,1199,255767023,125562,129161
129340..129588,+,82,16077177,129340,129588
129702..130118,+,138,255767024,129702,130118
130160..130630,+,156,255767025,130160,130630
130684..132762,+,692,255767026,130684,132762
132882..134072,+,396,16077181,132882,134072
134171..135127,+,318,255767027,134171,135127
135364..135672,+,102,16077183,135364,135672
135712..136341,+,209,16077184,135712,136341
136369..136992,+,207,16077185,136369,136992
136992..137279,+,95,255767028,136992,137279
137311..138144,+,277,255767029,137311,138144
138202..138480,+,92,16077188,138202,138480
138497..138838,+,113,16077189,138497,138838
138842..139498,+,218,255767030,138842,139498
139500..139934,+,144,16077191,139500,139934
139924..140124,+,66,16077192,139924,140124
140147..140410,+,87,16077193,140147,140410
140451..140819,+,122,16077194,140451,140819
140857..141168,+,103,16077195,140857,141168
141195..141734,+,179,16077196,141195,141734
141757..141942,+,61,16077197,141757,141942
141974..142372,+,132,255767031,141974,142372
142402..142941,+,179,16077199,142402,142941
142974..143336,+,120,255767032,142974,143336
143361..143861,+,166,16077201,143361,143861
143875..144054,+,59,16077202,143875,144054
144085..144525,+,146,16077203,144085,144525
144527..145822,+,431,16077204,144527,145822
145877..146530,+,217,16077205,145877,146530
146527..147273,+,248,16077206,146527,147273
147312..147536,+,74,255767033,147312,147536
147585..147803,+,72,16077207,147585,147803
147837..147950,+,37,16077208,147837,147950
147973..148338,+,121,255767034,147973,148338
148359..148754,+,131,16077210,148359,148754
148931..149875,+,314,16077211,148931,149875
149953..150315,+,120,16077212,149953,150315
150443..151288,+,281,255767035,150443,151288
151303..152133,+,276,16077214,151303,152133
152130..152927,+,265,255767036,152130,152927
152937..153680,+,247,255767037,152937,153680
153842..154279,+,145,255767038,153842,154279
154300..154692,+,130,16077218,154300,154692
155156..155923,+,255,255767039,155156,155923
156109..156552,+,147,16077220,156109,156552
156612..157325,+,237,16077221,156612,157325
157421..158479,+,352,16077222,157421,158479
158515..159072,-,185,16077223,158515,159072
159182..159778,+,198,16077224,159182,159778
159779..160543,-,254,16077225,159779,160543
177083..178519,+,478,16077226,177083,178519
178665..179585,+,306,255767040,178665,179585
179595..180347,-,250,255767041,179595,180347
180344..181354,-,336,255767042,180344,181354
181347..182351,-,334,16077230,181347,182351
182370..183323,-,317,16077231,182370,183323
183414..185003,-,529,16077232,183414,185003
185194..186438,-,414,16077233,185194,186438
186452..188380,-,642,16077234,186452,188380
188408..189733,-,441,255767043,188408,189733
189790..191157,-,455,255767044,189790,191157
191183..192034,-,283,16077237,191183,192034
192051..192965,-,304,16077238,192051,192965
193075..193557,-,160,255767045,193075,193557
193570..194025,-,151,255767046,193570,194025
