Location,Strand,Length,PID,Gene,Synonym,Code,COG,Product
410..1750,+,446,16077069,dnaA,BSU00010,-,COG0593L
1939..3075,+,378,16077070,dnaN,BSU00020,-,COG0592L
3206..3421,+,71,16077071,yaaA,BSU00030,-,COG2501S
3437..4549,+,370,16077072,recF,BSU00040,-,COG1195L
4567..4812,+,81,255767014,yaaB,BSU00050,-,-
4867..6783,+,638,16077074,gyrB,BSU00060,-,COG0187L
6994..9459,+,821,16077075,gyrA,BSU00070,-,COG0188L
14847..15794,-,315,16077076,yaaC,BSU00080,-,-
15915..17381,+,488,16077077,guaB,BSU00090,-,COG0516F
17534..18865,+,443,16077078,dacA,BSU00100,-,COG1686M
19062..19946,+,294,16077079,yaaD,BSU00110,-,COG0214H
19968..20558,+,196,16077080,yaaE,BSU00120,-,COG0311H
20880..22157,+,425,16077081,serS,BSU00130,-,COG0172J
22496..23149,-,217,16077082,dck,BSU00140,-,COG1428F
23146..23769,-,207,16077083,dgk,BSU00150,-,COG1428F
23868..25151,-,427,16077084,yaaH,BSU00160,-,COG3858R
25221..25766,-,181,16077085,yaaI,BSU00170,-,COG1335Q
25852..26337,+,161,16077086,tadA,BSU00180,-,COG0590FJ
26814..28505,+,563,255767015,dnaX,BSU00190,-,COG2812L
28529..28852,+,107,16077088,yaaK,BSU00200,-,COG0718S
28867..29463,+,198,16077089,recR,BSU00210,-,COG0353L
29481..29705,+,74,16077090,yaaL,BSU00220,-,-
29772..30035,+,87,255767016,bofA,BSU00230,-,-
35531..35725,+,64,16077092,csfB,BSU00240,-,-
35845..36459,+,204,16077093,xpaC,BSU00250,-,COG4915R
36478..37638,+,386,16077094,yaaN,BSU00260,-,COG3853P
37720..39162,+,480,16077095,yaaO,BSU00270,-,COG1982E
39159..39797,+,212,255767017,tmk,BSU00280,-,COG0125F
39871..40200,+,109,16077097,yaaQ,BSU00290,-,COG3870S
40213..40653,+,146,16077098,yaaR,BSU00300,-,COG1728S
40665..41654,+,329,16077099,holB,BSU00310,-,COG0470L
41657..42484,+,275,16077100,yaaT,BSU00320,-,COG1774S
42499..42858,+,119,16077101,yabA,BSU00330,-,COG4467S
42917..43660,+,247,16077102,yabB,BSU00340,-,COG4123R
43647..43946,+,99,16077103,yazA,BSU00350,-,COG2827L
43921..44799,+,292,16077104,yabC,BSU00360,-,COG0313R
44848..45138,-,96,16077105,abrB,BSU00370,-,COG2002K
45633..47627,+,664,16077106,metS,BSU00380,-,COG0143J
47706..48473,+,255,16077107,yabD,BSU00390,-,COG0084L
48629..49942,+,437,16077108,yabE,BSU00400,-,COG3583S
50087..50647,+,186,16077109,rnmV,BSU00410,-,COG1658L
50640..51518,+,292,16077110,ksgA,BSU00420,-,COG0030J
51680..52552,+,290,16077111,yabG,BSU00430,-,-
