Location,Strand,Length,PID,start,end
937..1494,+,185,384435231,937,1494
1577..2098,+,173,384435232,1577,2098
2172..2873,-,233,384435233,2172,2873
3192..4268,-,358,384435234,3192,4268
4451..5389,-,312,384435235,4451,5389
5534..6622,-,362,384435236,5534,6622
7229..8311,+,360,384435237,7229,8311
8492..10471,+,659,384435238,8492,10471
10622..12631,-,669,384435239,10622,12631
12755..13363,+,202,384435240,12755,13363
13498..14529,+,343,384435241,13498,14529
14626..15675,+,349,384435242,14626,15675
15937..16743,+,268,384435243,15937,16743
16740..17687,+,315,384435244,16740,17687
17853..20408,-,851,384435245,17853,20408
20615..21595,-,326,384435246,20615,21595
21838..23121,-,427,384435247,21838,23121
23139..24104,-,321,384435248,23139,24104
24101..25144,-,347,384435249,24101,25144
25266..27857,-,863,384435250,25266,27857
27990..29030,-,346,384435251,27990,29030
29098..29895,-,265,384435252,29098,29895
29968..32454,-,828,384435253,29968,32454
32524..32952,-,142,384435254,32524,32952
32912..33544,-,210,384435255,32912,33544
33891..35489,+,532,384435256,33891,35489
35566..36615,+,349,384435257,35566,36615
36721..38538,+,605,384435258,36721,38538
38644..39636,+,330,384435259,38644,39636
39802..42363,+,853,384435260,39802,42363
42405..43397,+,330,384435261,42405,43397
43571..44506,+,311,384435262,43571,44506
44442..44885,+,147,384435263,44442,44885
44948..46789,+,613,384435264,44948,46789
47007..48017,-,336,384435265,47007,48017
48067..48408,-,113,384435266,48067,48408
48405..48635,-,76,384435267,48405,48635
48663..49868,-,401,384435268,48663,49868
49893..50231,-,112,384435269,49893,50231
50246..51895,+,549,384435270,50246,51895
52260..53108,-,282,384435271,52260,53108
53453..54127,-,224,384435272,53453,54127
54533..55657,+,374,384435273,54533,55657
55669..56550,-,293,384435274,55669,56550
56556..57224,-,222,384435275,56556,57224
57340..58815,-,491,384435276,57340,58815
59039..59650,-,203,384435277,59039,59650
59746..60423,+,225,384435278,59746,60423
60524..61522,+,332,384435279,60524,61522
61834..63591,+,585,384435280,61834,63591
63588..64361,+,257,384435281,63588,64361
64393..64914,+,173,384435282,64393,64914
64987..65748,+,253,384435283,64987,65748
65827..67533,-,568,384435284,65827,67533
67606..68361,+,251,384435285,67606,68361
68400..69059,-,219,384435286,68400,69059
69284..69985,+,233,384435287,69284,69985
70016..70393,-,125,384435288,70016,70393
70420..70935,-,171,384435289,70420,70935
70944..74042,-,1032,384435290,70944,74042
73978..74229,-,83,384435291,73978,74229
74498..74785,+,95,384435292,74498,74785
74995..75804,+,269,384435293,74995,75804
75955..76500,-,181,384435294,75955,76500
76580..77407,-,275,384435295,76580,77407
77494..77874,-,126,384435296,77494,77874
78467..80800,-,777,384435297,78467,80800
80938..81690,+,250,384435298,80938,81690
81696..82259,-,187,384435299,81696,82259
82291..83853,-,520,384435300,82291,83853
84122..84697,+,191,384435301,84122,84697
84776..86107,+,443,384435302,84776,86107
86159..87418,+,419,384435303,86159,87418
87536..87910,-,124,384435304,87536,87910
88017..88661,-,214,384435305,88017,88661
88818..90512,-,564,384435306,88818,90512
90620..91411,+,263,384435307,90620,91411
91517..92482,+,321,384435308,91517,92482
93128..95152,+,674,384435309,93128,95152
95236..95808,+,190,384435310,95236,95808
95818..96228,-,136,384435311,95818,96228
96325..98481,-,718,384435312,96325,98481
98609..99199,-,196,384435313,98609,99199
99402..100793,+,463,384435314,99402,100793
100794..101771,-,325,384435315,100794,101771
101884..102831,-,315,384435316,101884,102831
102930..105110,-,726,384435317,102930,105110
105151..106539,-,462,384435318,105151,106539
107471..108325,-,284,384435319,107471,108325
108290..109201,+,303,384435320,108290,109201
109222..110313,+,363,384435321,109222,110313
110392..110724,+,110,384435322,110392,110724
110808..111224,+,138,384435323,110808,111224
111585..112559,+,324,384435324,111585,112559
113025..114188,+,387,384435325,113025,114188
114319..114624,+,101,384435326,114319,114624
114874..115272,+,132,384435327,114874,115272
115269..116477,+,402,384435328,115269,116477
116518..117693,-,391,384435329,116518,117693
117869..118336,+,155,384435330,117869,118336
118333..119532,-,399,384435331,118333,119532
119570..119962,-,130,384435332,119570,119962
120298..120537,-,79,384435333,120298,120537
120719..121660,+,313,384435334,120719,121660
121706..121990,-,94,384435335,121706,121990
122287..123405,+,372,384435336,122287,123405
123501..123995,-,164,384435337,123501,123995
123989..124348,-,119,384435338,123989,124348
124452..126443,-,663,384435339,124452,126443
126639..127064,+,141,384435340,126639,127064
127186..128712,+,508,384435341,127186,128712
128802..129710,+,302,384435342,128802,129710
129791..130186,+,131,384435343,129791,130186
130167..131039,-,290,384435344,130167,131039
131116..131790,+,224,384435345,131116,131790
131877..132407,+,176,384435346,131877,132407
132483..133859,+,458,384435347,132483,133859
133923..134177,+,84,384435348,133923,134177
134437..137442,+,1001,384435349,134437,137442
137444..138112,+,222,384435350,137444,138112
138295..140535,+,746,384435351,138295,140535
140585..141007,+,140,384435352,140585,141007
141123..141416,-,97,384435353,141123,141416
141648..142442,+,264,384435354,141648,142442
142559..142981,+,140,384435355,142559,142981
142981..143826,+,281,384435356,142981,143826
144061..144543,+,160,384435357,144061,144543
144554..145081,+,175,384435358,144554,145081
145164..145529,-,121,384435359,145164,145529
145761..146615,+,284,384435360,145761,146615
146724..146831,-,35,384435361,146724,146831
146980..147894,+,304,384435362,146980,147894
148022..148942,-,306,384435363,148022,148942
148943..149683,-,246,384435364,148943,149683
